Name,Z,POINT_X,POINT_Y,NEAR_DIST,Long,Lat,Distance
KapoyaArroket,1700,731706.315,9930858.43,5089.352036,35.08194798,-0.625129544,371.9915134
KapoyaArroket,1699.0292,731705.44,9930855.93,5086.703333,35.08194013,-0.62515215,374.6402159
KapoyaArroket,1699,731704.565,9930853.43,5084.054631,35.08193228,-0.625174757,377.2889185
KapoyaArroket,1699,731703.69,9930850.93,5081.405928,35.08192443,-0.625197363,379.937621
KapoyaArroket,1700.64295,731702.565,9930848.43,5078.664464,35.08191434,-0.62521997,382.679085
KapoyaArroket,1701.96,731701.44,9930845.93,5075.923,35.08190424,-0.625242578,385.420549
KapoyaArroket,1702.762533,731698.8567,9930842.68,5071.771361,35.08188105,-0.625271971,389.5721886
KapoyaArroket,1703.029133,731696.2733,9930839.43,5067.619721,35.08185786,-0.625301365,393.7238282
KapoyaArroket,1703,731693.69,9930836.18,5063.468082,35.08183467,-0.625330758,397.8754677
KapoyaArroket,1703.2208,731690.44,9930833.43,5059.210735,35.08180549,-0.625355633,402.1328143
KapoyaArroket,1702.5892,731687.19,9930830.68,5054.953388,35.08177631,-0.625380509,406.3901609
KapoyaArroket,1702,731683.94,9930827.93,5050.696042,35.08174714,-0.625405384,410.6475075
KapoyaArroket,1702,731680.6067,9930826.263,5046.969262,35.0817172,-0.625420464,414.3742875
KapoyaArroket,1702,731677.2733,9930824.597,5043.242482,35.08168727,-0.625435545,418.1010674
KapoyaArroket,1701.8542,731673.94,9930822.93,5039.515702,35.08165734,-0.625450626,421.8278474
KapoyaArroket,1702,731670.6067,9930822.347,5036.131712,35.0816274,-0.625455912,425.2118375
KapoyaArroket,1701.071356,731667.2733,9930821.763,5032.747722,35.08159747,-0.625461198,428.5958276
KapoyaArroket,1701,731663.94,9930821.18,5029.363732,35.08156753,-0.625466484,431.9798176
KapoyaArroket,1701.9622,731659.94,9930821.13,5025.363419,35.08153161,-0.625466951,435.9801301
KapoyaArroket,1702,731655.94,9930821.08,5021.363107,35.08149568,-0.625467417,439.9804426
KapoyaArroket,1701.83,731651.94,9930821.03,5017.362794,35.08145976,-0.625467883,443.9807551
KapoyaArroket,1701.8812,731647.94,9930820.98,5013.362482,35.08142383,-0.62546835,447.9810676
KapoyaArroket,1702.3358,731643.94,9930820.93,5009.362169,35.08138791,-0.625468816,451.9813801
KapoyaArroket,1702.185629,731639.6543,9930820.93,5005.076455,35.08134942,-0.625468832,456.2670944
KapoyaArroket,1701.73,731635.3686,9930820.93,5000.790741,35.08131093,-0.625468847,460.5528087
KapoyaArroket,1701.815629,731631.0829,9930820.93,4996.505026,35.08127243,-0.625468862,464.8385229
KapoyaArroket,1702,731626.7971,9930820.93,4992.219312,35.08123394,-0.625468878,469.1242372
KapoyaArroket,1701.648657,731622.5114,9930820.93,4987.933598,35.08119545,-0.625468893,473.4099515
KapoyaArroket,1701.73,731618.2257,9930820.93,4983.647884,35.08115696,-0.625468908,477.6956658
KapoyaArroket,1701.73,731613.94,9930820.93,4979.362169,35.08111847,-0.625468924,481.9813801
KapoyaArroket,1701.579133,731610.6067,9930820.93,4976.028836,35.08108853,-0.625468936,485.3147134
KapoyaArroket,1702,731607.2733,9930820.93,4972.695503,35.08105859,-0.625468948,488.6480467
KapoyaArroket,1702.3358,731603.94,9930820.93,4969.362169,35.08102866,-0.62546896,491.9813801
KapoyaArroket,1702.73,731600.6067,9930820.93,4966.028836,35.08099872,-0.625468972,495.3147134
KapoyaArroket,1703,731597.2733,9930820.93,4962.695503,35.08096878,-0.625468984,498.6480467
KapoyaArroket,1703.3358,731593.94,9930820.93,4959.362169,35.08093884,-0.625468996,501.9813801
KapoyaArroket,1703,731589.94,9930820.93,4955.362169,35.08090292,-0.62546901,505.9813801
KapoyaArroket,1703.73,731585.94,9930820.93,4951.362169,35.08086699,-0.625469024,509.9813801
KapoyaArroket,1704,731581.94,9930820.93,4947.362169,35.08083107,-0.625469039,513.9813801
KapoyaArroket,1704,731577.94,9930820.93,4943.362169,35.08079514,-0.625469053,517.9813801
KapoyaArroket,1703.73,731573.94,9930820.93,4939.362169,35.08075922,-0.625469067,521.9813801
KapoyaArroket,1703.202533,731570.6067,9930821.18,4936.019474,35.08072928,-0.625466819,525.3240753
KapoyaArroket,1703,731567.2733,9930821.43,4932.676779,35.08069934,-0.625464571,528.6667705
KapoyaArroket,1703,731563.94,9930821.68,4929.334084,35.0806694,-0.625462322,532.0094656
KapoyaArroket,1703,731560.19,9930822.743,4925.436468,35.08063572,-0.625452729,535.9070811
KapoyaArroket,1703,731556.44,9930823.805,4921.538853,35.08060203,-0.625443136,539.8046966
KapoyaArroket,1702,731552.69,9930824.867,4917.641237,35.08056835,-0.625433543,543.702312
KapoyaArroket,1702.1242,731548.94,9930825.93,4913.743622,35.08053467,-0.62542395,547.5999275
KapoyaArroket,1703,731546.44,9930826.68,4911.133545,35.08051221,-0.625417178,550.2100041
KapoyaArroket,1703.46,731543.94,9930827.43,4908.523469,35.08048975,-0.625410406,552.8200807
KapoyaArroket,1704,731541.44,9930828.305,4905.874766,35.0804673,-0.625402504,555.4687832
KapoyaArroket,1705,731538.94,9930829.18,4903.226064,35.08044484,-0.625394602,558.1174857
KapoyaArroket,1704,731535.6067,9930829.68,4899.855439,35.0804149,-0.625390093,561.4881105
KapoyaArroket,1704,731532.2733,9930830.18,4896.484814,35.08038496,-0.625385585,564.8587352
KapoyaArroket,1704,731528.94,9930830.68,4893.114189,35.08035502,-0.625381076,568.22936
KapoyaArroket,1703.4192,731526.44,9930830.805,4890.611066,35.08033257,-0.625379955,570.732483
KapoyaArroket,1703,731523.94,9930830.93,4888.107943,35.08031011,-0.625378834,573.2356061
KapoyaArroket,1703,731521.44,9930830.805,4885.60482,35.08028766,-0.625379973,575.7387291
KapoyaArroket,1703,731518.94,9930830.68,4883.101697,35.08026521,-0.625381112,578.2418522
KapoyaArroket,1703.9692,731516.44,9930830.43,4880.589228,35.08024276,-0.625383381,580.7543211
KapoyaArroket,1705,731513.94,9930830.18,4878.076759,35.0802203,-0.62538565,583.26679
KapoyaArroket,1705.875311,731510.6067,9930829.597,4874.692769,35.08019037,-0.625390936,586.65078
KapoyaArroket,1705.836978,731507.2733,9930829.013,4871.308779,35.08016043,-0.625396222,590.0347701
KapoyaArroket,1706,731503.94,9930828.43,4867.924789,35.0801305,-0.625401509,593.4187602
KapoyaArroket,1706,731501.44,9930828.43,4865.424789,35.08010804,-0.625401517,595.9187602
KapoyaArroket,1705.23,731498.94,9930828.43,4862.924789,35.08008559,-0.625401526,598.4187602
KapoyaArroket,1704.956425,731495.19,9930828.992,4859.132836,35.08005191,-0.625396454,602.210713
KapoyaArroket,1704.6192,731491.44,9930829.555,4855.340883,35.08001823,-0.625391382,606.0026659
KapoyaArroket,1705.058575,731487.69,9930830.118,4851.548931,35.07998454,-0.62538631,609.7946187
KapoyaArroket,1706,731483.94,9930830.68,4847.756978,35.07995086,-0.625381237,613.5865715
KapoyaArroket,1705,731478.94,9930830.68,4842.756978,35.07990596,-0.625381255,618.5865715
KapoyaArroket,1705,731473.94,9930830.68,4837.756978,35.07986105,-0.625381273,623.5865715
KapoyaArroket,1705,731470.6067,9930830.097,4834.372988,35.07983111,-0.625386559,626.9705616
KapoyaArroket,1705,731467.2733,9930829.513,4830.988998,35.07980118,-0.625391845,630.3545517
KapoyaArroket,1705,731463.94,9930828.93,4827.605008,35.07977124,-0.625397131,633.7385418
KapoyaArroket,1705.2592,731461.44,9930827.93,4824.912425,35.07974879,-0.625406181,636.4311242
KapoyaArroket,1706,731458.94,9930826.93,4822.219843,35.07972634,-0.625415232,639.1237066
KapoyaArroket,1706,731456.44,9930825.805,4819.478379,35.07970389,-0.625425412,641.8651706
KapoyaArroket,1705.7792,731453.94,9930824.68,4816.736915,35.07968144,-0.625435593,644.6066346
KapoyaArroket,1706,731450.6067,9930822.93,4812.972129,35.07965151,-0.625451427,648.3714203
KapoyaArroket,1706.982533,731447.2733,9930821.18,4809.207343,35.07962158,-0.625467261,652.136206
KapoyaArroket,1707,731443.94,9930819.43,4805.442558,35.07959165,-0.625483095,655.9009916
KapoyaArroket,1706.73,731440.6067,9930816.93,4801.275891,35.07956172,-0.62550571,660.0676583
KapoyaArroket,1706.327533,731437.2733,9930814.43,4797.109224,35.07953179,-0.625528326,664.234325
KapoyaArroket,1707,731433.94,9930811.93,4792.942558,35.07950186,-0.625550941,668.4009916
KapoyaArroket,1707,731431.44,9930811.43,4790.393048,35.07947941,-0.625555471,670.9505014
KapoyaArroket,1707,731428.94,9930810.93,4787.843538,35.07945696,-0.62556,673.5000111
KapoyaArroket,1707,731425.6067,9930807.93,4783.358997,35.07942703,-0.625587136,677.9845525
KapoyaArroket,1707,731422.2733,9930804.93,4778.874455,35.07939711,-0.625614272,682.4690938
KapoyaArroket,1707,731418.94,9930801.93,4774.389914,35.07936718,-0.625641408,686.9536352
KapoyaArroket,1707,731415.6067,9930801.013,4770.932836,35.07933724,-0.625649708,690.4107133
KapoyaArroket,1707,731412.2733,9930800.097,4767.475758,35.07930731,-0.625658007,693.8677914
